id,imdbid,title,release,runtime,budget,revenue,popularity,vote_average,vote_count
105,tt0088763,Back to the Future,1985,116,19000000,381109762,25.7785,8,6239
106,tt0093773,Predator,1987,107,18000000,98235548,18.4957,7.3,2129
107,tt0208092,Snatch,2000,103,10000000,83557872,14.014,7.7,2953
111,tt0086250,Scarface,1983,170,25000000,65884703,11.2997,8,3017
114,tt0100405,Pretty Woman,1990,119,14000000,463000000,13.3485,7,1807
115,tt0118715,The Big Lebowski,1998,117,15000000,46189568,15.9525,7.8,3001
116,tt0416320,Match Point,2005,124,15000000,85306374,9.02037,7.2,1134
117,tt0094226,The Untouchables,1987,119,25000000,76270454,11.0622,7.6,1424
118,tt0367594,Charlie and the Chocolate Factory,2005,115,150000000,474968763,22.0384,6.7,3759
120,tt0120737,The Lord of the Rings: The Fellowship of the Ring,2001,178,93000000,871368364,32.0707,8,8892
121,tt0167261,The Lord of the Rings: The Two Towers,2002,179,79000000,926287400,29.4235,8,7641
122,tt0167260,The Lord of the Rings: The Return of the King,2003,201,94000000,1118888979,29.3244,8.1,8226
128,tt0119698,Princess Mononoke,1997,134,26500000,159375308,17.1667,8.2,2041
129,tt0245429,Spirited Away,2001,125,15000000,274925095,41.0489,8.3,3968
134,tt0190590,"O Brother, Where Art Thou?",2000,106,26000000,71868327,12.4342,7.3,1144
137,tt0107048,Groundhog Day,1993,101,14600000,70906973,12.9896,7.4,2358
140,tt0275491,Bad Education,2004,106,5000000,40266982,7.66414,7.1,223
141,tt0246578,Donnie Darko,2001,113,6000000,1270522,18.3031,7.7,3574
142,tt0388795,Brokeback Mountain,2005,134,14000000,178043761,11.787,7.5,1531
144,tt0093191,Wings of Desire,1987,128,2500000,3200000,6.35732,7.5,256
146,tt0190332,"Crouching Tiger, Hidden Dragon",2000,120,17000000,213525736,19.945,7.2,949
149,tt0094625,Akira,1988,124,8000000,553171,10.8889,7.8,792
150,tt0083511,48 Hrs.,1982,96,12000000,78868508,15.2971,6.5,364
153,tt0335266,Lost in Translation,2003,102,4000000,119723856,11.6094,7.3,1943
155,tt0468569,The Dark Knight,2008,152,185000000,1004558444,123.167,8.3,12269
157,tt0088170,Star Trek III: The Search for Spock,1984,105,18000000,87000000,6.1973,6.4,443
161,tt0240772,Ocean's Eleven,2001,116,85000000,450717150,12.1149,7.2,3857
162,tt0099487,Edward Scissorhands,1990,105,20000000,53000000,17.6122,7.5,3731
163,tt0349903,Ocean's Twelve,2004,125,110000000,362744280,11.8693,6.4,2169
165,tt0096874,Back to the Future Part II,1989,108,40000000,332000000,13.6899,7.4,3926
167,tt0272152,K-PAX,2001,120,48000000,50315140,12.4002,7.1,710
168,tt0092007,Star Trek IV: The Voyage Home,1986,119,24000000,133000000,12.597,6.9,490
169,tt0100403,Predator 2,1990,108,35000000,57120318,11.7362,6,743
170,tt0289043,28 Days Later,2002,113,5000000,82719885,17.657,7.1,1816
172,tt0098382,Star Trek V: The Final Frontier,1989,107,30000000,70200000,12.308,5.6,384
174,tt0102975,Star Trek VI: The Undiscovered Country,1991,113,27000000,96900000,5.90057,6.7,421
176,tt0387564,Saw,2004,103,1200000,103911669,23.5084,7.2,2255
177,tt0101889,The Fisher King,1991,137,24000000,41895491,11.1844,7.2,346
179,tt0373926,The Interpreter,2005,128,80000000,162944923,12.0477,6.2,400
180,tt0181689,Minority Report,2002,145,102000000,358372926,20.6661,7.1,2663
182,tt0452624,The Good German,2006,108,32000000,5914908,5.29083,5.9,87
183,tt0098663,The Wizard,1989,100,6000000,14278900,5.76395,6.1,83
184,tt0119396,Jackie Brown,1997,154,12000000,39673162,16.4155,7.3,1580
186,tt0425210,Lucky Number Slevin,2006,110,27000000,56308881,11.1509,7.4,1356
187,tt0401792,Sin City,2005,124,40000000,158733820,15.0105,7.2,2755
189,tt0458481,Sin City: A Dame to Kill For,2014,102,65000000,39407616,20.6236,6.3,1314
192,tt0091605,The Name of the Rose,1986,130,20000000,77200000,11.4698,7.2,739
193,tt0111280,Star Trek: Generations,1994,118,38000000,120000000,8.10571,6.4,461
194,tt0211915,Amélie,2001,122,10000000,173921954,12.8794,7.8,3403
196,tt0099088,Back to the Future Part III,1990,118,40000000,244527583,13.044,7.1,2978
197,tt0112573,Braveheart,1995,177,72000000,210000000,20.7551,7.7,3404
199,tt0117731,Star Trek: First Contact,1996,111,46000000,150000000,8.8085,7,671
200,tt0120844,Star Trek: Insurrection,1998,103,70000000,118000000,9.53888,6.3,402
201,tt0253754,Star Trek: Nemesis,2002,117,60000000,67312826,11.3678,6.1,488
205,tt0395169,Hotel Rwanda,2004,121,17500000,38000000,10.2623,7.5,805
207,tt0097165,Dead Poets Society,1989,129,16400000,235860116,19.9057,8.1,2786
214,tt0489270,Saw III,2006,108,10000000,163876815,14.938,6.1,1104
215,tt0432348,Saw II,2005,92,4000000,152925093,15.3999,6.3,1288
217,tt0367882,Indiana Jones and the Kingdom of the Crystal Skull,2008,122,185000000,786636033,12.5773,5.7,2558
218,tt0088247,The Terminator,1984,108,6400000,78371200,19.2936,7.4,4208
219,tt0441909,Volver,2006,121,12899867,85582407,6.30293,7.3,419
226,tt0171804,Boys Don't Cry,1999,118,2000000,11540607,6.53601,7.2,360
227,tt0086066,The Outsiders,1983,91,10000000,33697647,6.43593,6.9,293
231,tt0365737,Syriana,2005,128,50000000,94000000,5.76858,6.3,455
232,tt0086216,Rumble Fish,1983,94,10000000,2494480,8.20519,6.8,141
235,tt0092005,Stand by Me,1986,89,8000000,52287414,15.207,7.8,1568
236,tt0110598,Muriel's Wedding,1994,106,3000000,15119639,5.25485,6.9,104
237,tt0289635,Young Adam,2003,93,6400000,2500000,5.23542,5.9,46
241,tt0110632,Natural Born Killers,1994,119,34000000,50282766,11.2269,6.9,927
242,tt0099674,The Godfather: Part III,1990,162,54000000,136766062,17.1853,7.1,1589
243,tt0146882,High Fidelity,2000,113,30000000,47126295,8.52496,7,636
245,tt0276751,About a Boy,2002,101,27000000,129000000,10.9567,6.6,627
251,tt0099653,Ghost,1990,127,22000000,505000000,11.9454,6.9,1381
254,tt0360717,King Kong,2005,187,207000000,550000000,19.7612,6.6,2403
257,tt0380599,Oliver Twist,2005,130,50000000,42093706,12.3699,6.7,283
268,tt0096895,Batman,1989,126,35000000,411348924,19.1067,7,2145
272,tt0372784,Batman Begins,2005,140,150000000,374218673,28.5053,7.5,7511
274,tt0102926,The Silence of the Lambs,1991,119,19000000,272742922,4.30722,8.1,4549
275,tt0116282,Fargo,1996,98,7000000,60611975,12.6147,7.7,2080
277,tt0320691,Underworld,2003,121,22000000,95708457,20.6243,6.6,2556
278,tt0111161,The Shawshank Redemption,1994,142,25000000,28341469,51.6454,8.5,8358
279,tt0086879,Amadeus,1984,160,18000000,51973029,12.6776,7.8,1107
280,tt0103064,Terminator 2: Judgment Day,1991,137,100000000,520000000,22.6617,7.7,4274
281,tt0114558,Strange Days,1995,145,42000000,7959291,11.2231,6.8,334
285,tt0449088,Pirates of the Caribbean: At World's End,2007,169,300000000,961000000,31.3637,6.9,4627
287,tt0094812,Bull Durham,1988,108,7000000,50888000,6.92407,6.6,154
290,tt0101410,Barton Fink,1991,116,9000000,6153939,8.38703,7.4,450
291,tt0389326,Riding Giants,2004,105,2600000,3166000,2.20395,7.6,23
292,tt0425598,Dave Chappelle's Block Party,2005,100,3000000,11718595,2.09279,6.5,29
294,tt0089015,Desert Hearts,1985,96,350000,2400000,1.55311,6.7,21
296,tt0181852,Terminator 3: Rise of the Machines,2003,109,200000000,435000000,20.8189,5.9,2177
297,tt0119643,Meet Joe Black,1998,178,90000000,142940100,14.0267,6.9,1174
298,tt0496806,Ocean's Thirteen,2007,122,85000000,311312624,12.1628,6.5,2040
300,tt0354899,The Science of Sleep,2006,105,6000000,9524340,10.604,6.8,253
302,tt0324133,Swimming Pool,2003,102,7800000,22441323,14.4811,6.5,154
306,tt0109254,Beverly Hills Cop III,1994,104,50000000,119208989,11.7878,5.5,445
308,tt0412019,Broken Flowers,2005,105,10000000,45742101,6.5893,6.8,359
310,tt0315327,Bruce Almighty,2003,101,80000000,484572835,15.9475,6.4,3121
313,tt0448124,Snow Cake,2006,112,12000000,1381665,11.5561,7.3,51
314,tt0327554,Catwoman,2004,104,100000000,82102379,13.3403,4.2,833
319,tt0108399,True Romance,1993,120,12500000,12281551,17.1893,7.5,762
320,tt0278504,Insomnia,2002,118,46000000,113714830,11.425,6.8,1181
321,tt0330602,Mambo Italiano,2003,92,4361898,3031801,2.87336,5.6,28
322,tt0327056,Mystic River,2003,138,25000000,156822020,12.6024,7.6,1473
326,tt0417148,Snakes on a Plane,2006,105,33000000,62022014,7.41857,5.1,504
327,tt0222851,Brother,2000,114,12000000,15250000,8.13452,6.8,107
329,tt0107290,Jurassic Park,1993,127,63000000,920100000,8.86378,7.6,4956
330,tt0119567,The Lost World: Jurassic Park,1997,129,73000000,229074524,0.788123,6.2,2528
331,tt0163025,Jurassic Park III,2001,92,93000000,368780809,0.648867,5.7,2109
334,tt0175880,Magnolia,1999,188,37000000,48451803,9.09164,7.5,844
338,tt0301357,"Good bye, Lenin!",2003,121,4800000,79384880,10.6056,7.4,602
339,tt0102536,Night on Earth,1991,129,3500000,2015810,8.29189,7.5,165
340,tt0404030,Everything is Illuminated,2005,106,7000000,2697930,7.73892,7.4,251
345,tt0120663,Eyes Wide Shut,1999,159,65000000,162091208,13.2685,7.1,1266
350,tt0458352,The Devil Wears Prada,2006,109,35000000,326551094,13.1024,7,3198
364,tt0103776,Batman Returns,1992,126,80000000,280000000,15.0017,6.6,1706
377,tt0087800,A Nightmare on Elm Street,1984,91,1800000,25504513,13.6947,7.2,1212
378,tt0093822,Raising Arizona,1987,94,6000000,29180280,14.0114,7.2,548
379,tt0100150,Miller's Crossing,1990,115,14000000,5080409,7.49585,7.5,431
387,tt0082096,Das Boot,1981,149,14000000,85000000,8.80338,7.9,623
388,tt0454848,Inside Man,2006,129,45000000,184376254,13.3935,7.3,1671
392,tt0241303,Chocolat,2000,121,25000000,152500343,8.9256,6.8,979
393,tt0378194,Kill Bill: Vol. 2,2004,136,30000000,152159461,21.5331,7.7,4061
395,tt0370263,AVP: Alien vs. Predator,2004,101,70000000,171183863,12.6362,5.6,1241
398,tt0379725,Capote,2005,114,7000000,49084830,6.01272,6.9,394
400,tt0114660,Things to Do in Denver When You're Dead,1995,116,8000000,529766,4.48618,6.7,87
401,tt0333766,Garden State,2004,102,2500000,26781723,11.6308,7.1,631
402,tt0103772,Basic Instinct,1992,127,49000000,352927224,16.6284,6.5,869
403,tt0097239,Driving Miss Daisy,1989,99,7500000,145793296,10.7037,7,358
409,tt0116209,The English Patient,1996,162,27000000,231976425,15.5642,7,559
411,tt0363771,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,143,180000000,748806957,18.1354,6.7,2709
414,tt0112462,Batman Forever,1995,121,100000000,336529144,13.3214,5.2,1529
415,tt0118688,Batman & Robin,1997,125,125000000,238207122,17.0388,4.2,1447
421,tt0362270,The Life Aquatic with Steve Zissou,2004,119,50000000,34808403,6.93668,7.1,781
423,tt0253474,The Pianist,2002,150,35000000,120072577,14.8116,8.1,1927
424,tt0108052,Schindler's List,1993,195,22000000,321365567,41.7251,8.3,4436
425,tt0268380,Ice Age,2002,81,59000000,383257136,17.3289,7.1,3954
431,tt0123755,Cube,1997,90,250000,501818,12.0953,6.9,1101
435,tt0319262,The Day After Tomorrow,2004,124,125000000,544272402,15.0497,6.2,2462
440,tt0758730,Aliens vs Predator: Requiem,2007,94,40000000,41797066,10.7933,4.9,758
441,tt0219822,Human Nature,2001,96,6000000,705308,7.71409,6.1,74
442,tt0314524,Popular Music,2004,100,2224000,28000000,0.988777,6,17
451,tt0113627,Leaving Las Vegas,1995,112,3600000,49800000,10.332,7.1,365
452,tt0154421,The Idiots,1998,117,2500000,7235,9.17422,6.7,107
453,tt0268978,A Beautiful Mind,2001,135,60000000,313542341,11.9365,7.7,3087
454,tt0117509,Romeo + Juliet,1996,120,14500000,147298761,11.7741,6.7,1406
455,tt0286499,Bend It Like Beckham,2002,112,3500159,76578641,6.26268,6.2,593
462,tt0195685,Erin Brockovich,2000,131,52000000,256271286,10.1354,7.1,730
470,tt0315733,21 Grams,2003,124,20000000,60427839,6.37228,7.2,943
473,tt0138704,Pi,1998,84,60000,3221152,10.6214,7.1,600
476,tt0097240,Drugstore Cowboy,1989,100,2500000,4729352,8.02611,7,117
479,tt0162650,Shaft,2000,99,46000000,107196498,7.42002,5.5,316
483,tt0100935,Wild at Heart,1990,124,9500000,14560247,8.52862,7,341
489,tt0119217,Good Will Hunting,1997,126,10000000,225933435,15.0648,7.9,2880
492,tt0120601,Being John Malkovich,1999,112,13000000,22863596,11.4163,7.3,1124
496,tt0443453,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,82,18000000,261572744,8.27834,6.5,1617
497,tt0120689,The Green Mile,1999,189,60000000,284600000,19.9668,8.2,4166
500,tt0105236,Reservoir Dogs,1992,99,1200000,14661007,12.2203,8.1,3821
503,tt0409182,Poseidon,2006,99,160000000,181674817,6.58167,5.5,594
504,tt0340855,Monster,2003,110,8000000,60378584,7.18902,7,500
505,tt0097626,Johnny Handsome,1989,94,20000000,7237794,9.05946,6.1,49
507,tt0110265,Killing Zoe,1993,96,1500000,418961,4.94857,6.1,111
508,tt0314331,Love Actually,2003,135,40000000,244931766,10.5868,7,1917
509,tt0125439,Notting Hill,1999,124,42000000,363889678,9.87404,7,1309
512,tt0457513,Scoop,2006,96,4000000,31584901,8.16339,6.4,435
522,tt0109707,Ed Wood,1994,127,18000000,5887457,11.7204,7.3,639
524,tt0112641,Casino,1995,178,52000000,116112375,10.1374,7.8,1343
525,tt0080455,The Blues Brothers,1980,133,27000000,115229890,10.0769,7.5,1092
526,tt0089457,Ladyhawke,1985,121,20000000,18432000,8.15759,6.8,264
533,tt0312004,The Curse of the Were-Rabbit,2005,85,30000000,192452832,11.7662,6.8,660
534,tt0438488,Terminator Salvation,2009,115,200000000,371353001,16.5075,5.9,2496
535,tt0085549,Flashdance,1983,95,4000000,92921203,9.88896,6.1,313
544,tt0129387,There's Something About Mary,1998,119,23000000,369884651,11.689,6.5,1616
546,tt0407265,Transamerica,2005,103,1000000,13350369,7.3982,6.9,149
547,tt0119314,The Horse Whisperer,1998,170,60000000,186883563,7.68555,6.7,296
549,tt0115632,Basquiat,1996,108,2962051,3011195,4.79767,6.6,97
550,tt0137523,Fight Club,1999,139,63000000,100853753,63.8696,8.3,9678
553,tt0276919,Dogville,2003,178,10000000,16680836,9.80859,7.6,619
558,tt0316654,Spider-Man 2,2004,127,200000000,783766341,10.8345,6.7,4432
559,tt0413300,Spider-Man 3,2007,139,258000000,890871626,27.6143,5.9,3687
561,tt0360486,Constantine,2005,121,100000000,230884728,9.61569,6.6,1837
562,tt0095016,Die Hard,1988,131,28000000,140767956,16.6405,7.5,4005
563,tt0120201,Starship Troopers,1997,129,105000000,121214377,14.4126,6.7,1584
564,tt0120616,The Mummy,1999,124,80000000,415885488,23.9841,6.6,2796
565,tt0298130,The Ring,2002,115,48000000,249348933,13.741,6.5,1720
568,tt0112384,Apollo 13,1995,140,52000000,355237933,18.7615,7.3,1637
577,tt0114681,To Die For,1995,106,20000000,21284514,10.4485,6.7,177
580,tt0093300,Jaws: The Revenge,1987,89,23000000,51881013,9.32799,3.5,227
581,tt0099348,Dances with Wolves,1990,181,22000000,424208848,11.6543,7.6,1084
582,tt0405094,The Lives of Others,2006,137,2000000,70000000,9.02255,7.9,977
584,tt0322259,2 Fast 2 Furious,2003,107,76000000,236350661,2.32462,6.2,2087
585,tt0198781,"Monsters, Inc.",2001,92,115000000,562816256,26.42,7.5,6150
586,tt0120885,Wag the Dog,1997,97,15000000,64256513,7.60365,6.7,273
587,tt0319061,Big Fish,2003,125,70000000,122919055,14.74,7.6,2064
588,tt0384537,Silent Hill,2006,125,50000000,97607453,7.93846,6.3,1093
590,tt0274558,The Hours,2002,114,25000000,41597830,14.6865,7,461
591,tt0382625,The Da Vinci Code,2006,149,125000000,767820459,18.5667,6.5,2773
594,tt0362227,The Terminal,2004,128,60000000,219417255,14.0924,7.1,1974
597,tt0120338,Titanic,1997,194,200000000,1845034188,26.8891,7.5,7770
598,tt0317248,City of God,2002,130,3300000,30641770,14.9593,8.2,1852
600,tt0093058,Full Metal Jacket,1987,116,17000000,46357676,13.9415,7.9,2595
601,tt0083866,E.T. the Extra-Terrestrial,1982,115,10500000,792965326,19.3585,7.3,3359
602,tt0116629,Independence Day,1996,145,75000000,816969268,17.6342,6.7,3334
603,tt0133093,The Matrix,1999,136,63000000,463517383,33.3663,7.9,9079
604,tt0234215,The Matrix Reloaded,2003,138,150000000,738599701,16.2293,6.7,3500
605,tt0242653,The Matrix Revolutions,2003,129,150000000,424988211,15.3682,6.4,3155
606,tt0089755,Out of Africa,1985,161,31000000,128499205,14.0041,7,290
607,tt0119654,Men in Black,1997,98,90000000,589390539,15.781,6.9,4521
608,tt0120912,Men in Black II,2002,88,140000000,441818803,16.7757,6.1,3188
609,tt0084516,Poltergeist,1982,114,10700000,122200000,11.7763,7.1,811
612,tt0408306,Munich,2005,164,70000000,130358911,9.66876,7,706
613,tt0363163,Downfall,2004,156,18339750,92180910,7.69224,7.7,1059
615,tt0335345,The Passion of the Christ,2004,127,30000000,611899420,13.1942,6.9,888
616,tt0325710,The Last Samurai,2003,154,140000000,456758981,19.5823,7.3,1946
617,tt0120890,Wild Things,1998,108,20000000,67200000,13.9246,6.3,454
619,tt0103855,The Bodyguard,1992,129,25000000,411006740,9.80502,6.2,681
620,tt0087332,Ghostbusters,1984,107,30000000,295212467,22.0897,7.3,2431
623,tt0095159,A Fish Called Wanda,1988,108,7500000,62493712,11.4004,7.1,576
625,tt0087553,The Killing Fields,1984,141,14400000,34700291,11.4604,7.5,180
627,tt0117951,Trainspotting,1996,93,4000000,16491080,19.3485,7.8,2737
628,tt0110148,Interview with the Vampire,1994,123,60000000,223664608,11.9702,7.2,1558
629,tt0114814,The Usual Suspects,1995,106,6000000,23341568,16.3025,8.1,3334
634,tt0243155,Bridget Jones's Diary,2001,97,25000000,281929795,10.7805,6.6,1397
635,tt0092563,Angel Heart,1987,113,17000000,17185632,7.29087,7,326
637,tt0118799,Life Is Beautiful,1997,116,20000000,229400000,39.395,8.3,3643
638,tt0116922,Lost Highway,1997,134,15000000,3675201,8.44972,7.5,572
639,tt0098635,When Harry Met Sally...,1989,96,16000000,92823546,8.34322,7.3,974
640,tt0264464,Catch Me If You Can,2002,141,52000000,352114312,19.8331,7.7,3917
641,tt0180093,Requiem for a Dream,2000,102,4500000,7390108,6.87483,7.9,2525
644,tt0212720,A.I. Artificial Intelligence,2001,146,100000000,235926552,13.2494,6.8,2011
650,tt0101507,Boyz n the Hood,1991,112,6500000,57504069,6.86651,7.4,377
652,tt0332452,Troy,2004,163,175000000,497409852,15.3873,6.9,2841
655,tt0087884,"Paris, Texas",1984,147,1746964,2181987,11.6358,7.7,282
663,tt0890870,Saw IV,2007,93,10000000,139352633,12.2339,5.9,938
664,tt0117998,Twister,1996,113,92000000,494471524,8.73914,6.1,966
666,tt0140888,Central Station,1998,113,2900000,5596708,4.91972,7.6,132
670,tt0364569,Oldboy,2003,120,3000000,14980005,10.6169,8,2000
671,tt0241527,Harry Potter and the Philosopher's Stone,2001,152,125000000,976475550,38.1872,7.5,7188
672,tt0295297,Harry Potter and the Chamber of Secrets,2002,161,100000000,876688482,29.7415,7.4,5966
673,tt0304141,Harry Potter and the Prisoner of Azkaban,2004,141,130000000,789804554,28.4603,7.7,6037
674,tt0330373,Harry Potter and the Goblet of Fire,2005,157,150000000,895921036,24.9031,7.5,5758
675,tt0373889,Harry Potter and the Order of the Phoenix,2007,138,150000000,938212738,21.3643,7.4,5633
676,tt0213149,Pearl Harbor,2001,183,140000000,449220945,11.4194,6.6,1833
679,tt0090605,Aliens,1986,137,18500000,183316455,21.7612,7.7,3282
680,tt0110912,Pulp Fiction,1994,154,8000000,213928762,140.95,8.3,8670
687,tt0112818,Dead Man Walking,1995,122,11000000,39363635,6.89132,7.3,350
688,tt0112579,The Bridges of Madison County,1995,135,24000000,182016617,5.95108,7.3,397
693,tt0290002,Meet the Fockers,2004,115,80000000,516642939,11.8764,6.1,1412
694,tt0081505,The Shining,1980,144,19000000,44017374,19.6116,8.1,3890
699,tt0082398,For Your Eyes Only,1981,127,28000000,195312802,9.76512,6.3,497
700,tt0086034,Octopussy,1983,131,27500000,187500000,10.6193,6.2,534
707,tt0090264,A View to a Kill,1985,131,30000000,152427960,12.8408,6,515
708,tt0093428,The Living Daylights,1987,130,40000000,191185897,12.189,6.2,447
709,tt0097742,Licence to Kill,1989,133,32000000,156167015,11.1379,5.9,549
710,tt0113189,GoldenEye,1995,130,58000000,352194034,14.686,6.6,1194
711,tt0181536,Finding Forrester,2000,136,43000000,80049764,10.5363,7,305
712,tt0109831,Four Weddings and a Funeral,1994,117,6000000,254700832,8.99035,6.6,654
713,tt0107822,The Piano,1993,121,7000000,116700000,7.43676,7.1,290
714,tt0120347,Tomorrow Never Dies,1997,119,110000000,333011068,17.1596,6,941
744,tt0092099,Top Gun,1986,110,15000000,356830601,20.301,6.7,1736
745,tt0167404,The Sixth Sense,1999,107,40000000,672806292,18.4492,7.7,3223
746,tt0093389,The Last Emperor,1987,163,23000000,43984230,11.077,7.4,362
747,tt0365748,Shaun of the Dead,2004,99,4000000,30039392,14.9029,7.5,2479
752,tt0434409,V for Vendetta,2006,132,54000000,132511035,20.2144,7.7,4562
754,tt0119094,Face/Off,1997,138,80000000,245676146,11.4674,6.8,1612
755,tt0116367,From Dusk Till Dawn,1996,108,19000000,25836616,15.3392,6.9,1644
763,tt0103873,Braindead,1992,104,3000000,242623,13.6456,7.4,388
764,tt0083907,The Evil Dead,1981,85,350000,29400000,10.4217,7.3,913
765,tt0092991,Evil Dead II,1987,84,3600000,5923044,13.5208,7.5,760
767,tt0417741,Harry Potter and the Half-Blood Prince,2009,153,250000000,933959197,19.0837,7.4,5435
768,tt0120681,From Hell,2001,122,35000000,74558115,7.79014,6.6,758
769,tt0099685,GoodFellas,1990,145,25000000,46836394,15.4241,8.2,3211
771,tt0099785,Home Alone,1990,103,18000000,476684675,0.702543,7.1,2487
772,tt0104431,Home Alone 2: Lost in New York,1992,120,18000000,358991681,13.2937,6.3,2459
773,tt0449059,Little Miss Sunshine,2006,102,8000000,100523181,5.32012,7.5,1728
782,tt0119177,Gattaca,1997,106,36000000,12532777,12.8931,7.5,1846
783,tt0083987,Gandhi,1982,191,22000000,77737889,12.3838,7.4,730
786,tt0181875,Almost Famous,2000,122,60000000,47383689,9.0867,7.4,807
787,tt0356910,Mr. & Mrs. Smith,2005,120,110000000,478207520,15.7244,6.5,3048
788,tt0107614,Mrs. Doubtfire,1993,125,25000000,441286195,11.1655,7,1638
790,tt0080749,The Fog,1980,89,1000000,21378361,9.19457,6.4,318
791,tt0432291,The Fog,2005,100,18000000,46201432,9.92981,3.8,191
792,tt0091763,Platoon,1986,120,6000000,138530565,18.207,7.5,1236
793,tt0090756,Blue Velvet,1986,120,6000000,8551228,7.88225,7.7,758
795,tt0120632,City of Angels,1998,114,55000000,198685114,8.22822,6.5,537
796,tt0139134,Cruel Intentions,1999,97,10500000,75902208,8.18106,6.6,848
801,tt0093105,"Good Morning, Vietnam",1987,121,13000000,123922370,9.02328,7.1,658
806,tt0466909,The Omen,2006,110,25000000,119188334,5.67068,5.3,287
807,tt0114369,Se7en,1995,127,33000000,327311859,18.4574,8.1,5915
808,tt0126029,Shrek,2001,90,60000000,484409218,17.9877,7.3,4183
809,tt0298148,Shrek 2,2004,93,150000000,919838758,16.2299,6.7,3082
810,tt0413267,Shrek the Third,2007,93,160000000,798958165,14.0725,6,2355
