movieid,imdbid,tmdbid
1495,0120389,6499
1496,0118623,50512
1497,0119013,9405
1498,0119381,12723
1499,0118615,9360
1523,0120383,31017
1534,0058985,53023
1535,0119578,64802
1537,0117615,11239
1538,0120087,50850
1541,0118556,2058
1542,0115744,9450
1547,0120118,33660
1551,0118787,15170
1555,0112951,124642
1562,0118688,415
1571,0115856,11956
1572,0057345,266
1573,0119094,754
1574,0119098,37567
1577,0117076,124834
1578,0113425,249358
1579,0116334,111367
1581,0119848,18080
1584,0118884,686
1586,0119173,4421
1587,0082198,9387
1588,0119190,10603
1592,0118570,20737
1593,0119896,9413
1597,0118883,8834
1598,0118966,9458
1619,0120102,978
1620,0119468,9437
1621,0120169,29461
1624,0120323,66588
1630,0123953,
1632,0120151,33657
1633,0120402,55306
1635,0119349,68924
1636,0120192,36434
1639,0118842,2255
1640,0119326,28353
1641,0119164,9427
1642,0116631,172545
1645,0118971,1813
1646,0120029,36797
1648,0119324,33344
1656,0120257,1959
1667,0119592,9770
1669,0120275,34838
1677,0118901,61337
1683,0120520,45609
1689,0120483,9414
1690,0118583,8078
1694,0118632,2895
1713,0119715,6283
1715,0119819,49728
1717,0120082,4233
1722,0120347,714
1724,0118230,12799
1726,0119925,9922
1729,0119396,184
1734,0119590,27103
1735,0119223,9410
1738,0120881,
1770,0120594,2923
1771,0119784,12238
1779,0120184,10153
1781,0116379,47112
1788,0119656,320011
1791,0119594,26269
1792,0120873,11808
1807,0120642,37272
1812,0120510,32911
1817,0119560,93350
1819,0120219,62695
1824,0119305,17133
1825,0119905,19848
1826,0120598,17644
1830,0119139,
1831,0120738,2157
1832,0119272,70581
1833,0120749,8838
1844,0118819,267
1850,0130019,90414
1852,0118727,215373
1857,0119987,29825
1858,0117786,10622
1865,0141986,76330
1878,0120531,58680
1880,0119506,35796
1883,0118798,9452
1885,0120777,9844
1887,0119053,14342
1891,0120401,40961
1892,0120787,1965
1893,0116692,312
1894,0120828,6068
1895,0127723,15037
1900,0118849,21334
1902,0116141,32284
1903,0126938,51955
1904,0122529,37410
1907,0120762,10674
1909,0120902,846
1911,0118998,3050
1913,0073540,11020
1921,0138704,473
1923,0129387,544
1927,0020629,143
1930,0023876,56164
1931,0026752,12311
1934,0030993,34106
1945,0047296,654
1946,0048356,15919
1947,0055614,1725
1948,0057590,5769
1949,0060665,874
1951,0063385,17917
1954,0075148,1366
1955,0079417,12102
1957,0082158,9443
1961,0095953,380
1965,0087995,13820
1966,0100142,15389
1969,0089686,10014
1970,0093629,10072
1975,0082418,9725
1977,0087298,9730
1979,0091080,10225
1985,0095271,11357
1988,0093176,39929
1989,0098136,41828
1991,0094862,10585
1995,0091778,11133
1996,0095889,10306
1997,0070047,9552
2001,0097733,942
2005,0089218,9340
2009,0070723,12101
2013,0069113,551
2014,0076054,16084
2016,0078790,22328
2018,0034492,3170
2019,0047478,346
2020,0094947,859
2022,0095497,11051
2023,0099674,242
2024,0102757,1411
2026,0134619,9424
2034,0078869,9570
2043,0052722,18887
2044,0082263,40866
2046,0091059,10122
2048,0091149,9994
2055,0077698,28736
2056,0056095,34774
2057,0057180,37969
2059,0120783,9820
2062,0120687,96196
2064,0098213,1779
2067,0059113,907
2069,0090203,47908
2071,0106273,2887
2074,0071910,26648
2080,0048280,10340
2082,0104868,10414
2085,0055254,12230
2086,0089731,13380
2088,0081353,11335
2099,0038969,13850
2100,0088161,2619
2103,0111359,41841
2105,0084827,97
2108,0102250,2107
2109,0079367,6471
2112,0101969,13697
2114,0086066,227
2116,0077869,123
2118,0085407,11336
2119,0091499,9980
2122,0087050,10823
2123,0096787,11497
2124,0101272,2907
2133,0092513,14367
2135,0061584,16081
2140,0083791,11639
2142,0101329,10380
2148,0091223,11415
2149,0093220,37530
2155,0120831,14662
2157,0129923,115872
2162,0100240,34636
2163,0080391,2182
2164,0094077,28070
2171,0119778,41469
2176,0040746,1580
2179,0065112,2370
2185,0045897,30159
2207,0031505,31995
2210,0028212,12684
2239,0073817,37916
2251,0101530,77314
2252,0104412,10699
2253,0105629,11597
2255,0084938,47947
2266,0101523,20096
2268,0104257,881
2269,0107211,4478
2270,0109390,
2275,0118736,24746
2277,0120162,193103
2280,0118863,26618
2288,0084787,1091
2289,0105151,10403
2291,0099487,162
2292,0117276,25723
2293,0144604,73351
2294,0120587,8916
2295,0120823,28134
2300,0063462,30197
2309,0141824,1039
2310,0119670,9821
2320,0118636,9445
2321,0120789,2657
2324,0118799,637
2334,0133952,9882
2355,0120623,9487
2359,0166396,10162
2360,0154420,309
2395,0128445,11545
2436,0120857,10368
2453,0090768,24086
2454,0051622,11815
2486,0138279,125548
2493,0128133,9524
2501,0132477,13466
2502,0151804,1542
2503,0156901,43978
2539,0122933,9535
2567,0131369,11374
2575,0120449,9840
2604,0168950,74140
2610,0138874,4154
2612,0037913,3309
2616,0099422,8592
2617,0120616,564
2619,0188052,140519
2620,0120865,25232
2621,0115005,33194
2636,0037099,29243
2637,0032818,31498
2639,0082766,15660
2642,0086393,9531
2649,0031951,3077
2652,0050280,3079
2654,0034398,13666
2655,0089308,29794
2662,0046534,8974
2666,0049370,27625
2667,0049516,41516
2668,0084745,17918
2669,0053183,37305
2671,0125439,509
2675,0138590,55912
2687,0120855,37135
2698,0120554,67067
2749,0091554,31924
2755,0093415,2115
2756,0094293,23599
2757,0083967,3526
2768,0120210,89861
2770,0131325,11353
2778,0113965,48781
2787,0088889,10552
2788,0066765,9267
2789,0077394,10766
2800,0104740,22611
2832,0144286,30964
2898,0106664,10349
2900,0095652,29787
2907,0167427,13824
2924,0080179,11230
2925,0065571,8416
2959,0137523,550
2976,0163988,8649
2977,0142201,31306
2978,0144640,10563
2989,0082398,699
3033,0094012,957
3036,0082484,62204
3040,0079540,14035
3049,0061789,29048
3050,0172726,19052
3093,0067411,29005
3097,0033045,20334
3131,0118780,41638
3132,0010040,70801
3172,0047630,43194
3176,0134119,1213
3291,0217107,77908
3432,0089003,24873
3489,0102057,879
3509,0165643,38809
3512,0122459,2621
3525,0086927,12309
3536,0171433,4967
3563,0132910,9456
3573,0112634,65460
3580,0153464,47724
3586,0080913,42159
3594,0210616,10560
3595,0165831,19489
3597,0174336,23531
3600,0054692,18228
3604,0056048,39391
3638,0079574,698
3683,0086979,11368
3877,0088206,9651
3902,0210717,170767
3933,0052969,43109
3980,0203019,11978
3981,0199753,8870
3989,0230591,34045
4011,0208092,107
4012,0095927,40820
4105,0083907,764
4108,0093029,71881
4133,0093507,11649
4141,0192111,24940
4147,0250478,12806
4148,0212985,9740
4203,0102005,2453
4232,0227538,10054
4233,0246989,10646
4234,0236784,2575
4244,0260332,44069
4247,0245686,10956
4248,0236348,19366
4251,0221073,9519
4256,0240402,32590
4257,0249538,109472
4258,0251191,153141
4327,0054047,966
4347,0234288,29937
4348,0194530,49922
4349,0065528,10364
4379,0179473,24470
4380,0203632,9301
4413,0059878,42780
4421,0118734,25690
4442,0089461,13938
4464,0094606,31052
4476,0094739,12710
4477,0094744,30502
4478,0094746,19382
4488,0094894,10126
4512,0095326,30690
4513,0095333,75889
4515,0095360,26723
4517,0095484,49365
4518,0095488,11347
4523,0095638,13482
4538,0096029,70842
4547,0096180,25497
4551,0096241,91445
4553,0096256,8337
4564,0096794,11352
4566,0092548,25678
4584,0097236,15142
4587,0097257,2210
4597,0097438,1380
4599,0097457,11465
4614,0097659,10222
4629,0097967,27418
4638,0163025,331
4643,0133152,869
4689,0065761,27431
4722,0250202,21055
4723,0250323,24936
4771,0180734,20857
4806,0059527,25905
4824,0265212,34453
4836,0080556,42158
4858,0084043,21741
4911,0076221,11834
4912,0062994,16085
4912,0062994,16085
4922,0042539,38766
4927,0076299,72277
4935,0080715,33356
4942,0052564,6974
4944,0075989,42218
4951,0100054,10847
4958,0159273,8007
4959,0242252,19076
4961,0282856,50562
4964,0233841,43774
4967,0283509,8342
4970,0020697,228
4978,0259393,9523
4982,0052320,43143
4995,0268978,453
4997,0217331,12724
5038,0083951,27273
5123,0070819,42458
5125,0081698,14475
5137,0143861,18984
5143,0048310,108266
5172,0290212,15186
5174,0099566,31651
5175,0099768,47869
5176,0160498,
5236,0097106,28213
5255,0279781,6020
5279,0102103,17990
5289,0039204,17487
5333,0047892,26030
5375,0038589,28907
5393,0051496,39435
5470,0044744,20324
5491,0049170,43199
5503,0265930,12308
5548,0090966,9941
5549,0053825,18639
5550,0049452,39833
5551,0037219,32858
5559,0270480,26165
5683,0293832,49872
5689,0101453,12647
5693,0076666,11009
5723,0082200,26560
5820,0314725,30192
5825,0036112,25037
5851,0083006,47888
5852,0083033,20472
5857,0083099,84735
5876,0258068,8198
5894,0177898,125337
5896,0213121,35612
5915,0083284,17360
5955,0168786,13435
5966,0049414,53712
6023,0057869,8073
6038,0100822,41927
6068,0039737,26761
6072,0064323,8286
6073,0055597,43028
6075,0083888,24129
6114,0084488,37997
6116,0084504,25872
6171,0068441,3426
6278,0314062,203252
6279,0281820,6016
6280,0266465,8409
6282,0277622,284096
6283,0275277,11299
6312,0089838,57565
6341,0308878,22958
6346,0090585,42017
6415,0093267,47715
6435,0043887,40683
6439,0048966,32087
6466,0102456,41791
6477,0036377,43516
6479,0100670,57476
6488,0293116,18300
6499,0012532,42511
6519,0076059,24109
6520,0045966,19957
6522,0058324,39231
6538,0324133,302
6552,0301199,3472
6557,0113533,68927
6575,0074564,21882
6615,0329101,6466
6637,0092085,35371
6639,0062467,11206
6687,0270980,2830
6723,0108592,10619
6795,0090735,36349
6877,0339071,21059
6947,0311113,8619
6950,0338188,12146
6957,0307987,10147
6961,0104237,11012
6963,0293088,30068
6964,0088987,40913
6972,0118125,44479
6973,0104265,4823
6977,0102526,10952
6978,0102943,14022
7090,0299977,79
7091,0023027,13912
7095,0076327,37749
7131,0053320,18904
7183,0066449,42599
7191,0103827,34151
7211,0043915,23152
7214,0050599,52367
7220,0087718,42094
7233,0091513,73515
7270,0111218,19361
7278,0166158,33557
7288,0013140,35227
7299,0329388,337
7303,0052738,2576
7304,0074121,22561
7305,0090738,19345
7326,0258816,25935
7341,0060232,31602
7345,0358349,17047
7350,0371683,266687
7351,0303348,66660
7364,0332658,16941
7442,0289635,237
7443,0308488,126117
7445,0328107,9509
7446,0398872,19016
7450,0323033,11141
7451,0377092,10625
7453,0363282,11025
7459,0293007,8440
7461,0329111,38018
7484,0065780,132
7485,0053134,28276
7840,0031398,24965
7913,0057078,27636
7942,0046345,47735
7979,0064689,42632
7980,0075784,5902
7984,0091083,14510
8007,0105191,22627
8009,0051911,33731
8010,0105159,13823
8011,0343168,14108
8012,0199683,4291
8055,0122143,34288
8068,0055910,43001
8130,0189553,45042
8141,0056504,43011
8195,0053619,5165
8197,0052893,5544
8198,0054371,19128
8202,0044487,56167
8224,0188404,21375
8265,0068615,18274
8270,0100112,11796
8273,0104545,4507
8291,0061075,4879
8292,0043614,24774
8329,0043041,96255
8337,0046816,10178
8338,0039192,16391
8363,0367085,12657
8367,0324197,24190
8373,0327162,9890
8374,0363235,26886
8393,0087337,34748
8398,0063642,52959
8427,0078766,47819
8452,0077942,110598
8453,0139388,44388
8456,0065889,26451
8461,0036777,123665
8487,0054188,19414
8488,0070689,60595
8491,0042041,15794
8512,0075222,10970
8536,0331525,205481
8584,0037865,17645
8587,0230512,61487
8592,0057681,42988
8618,0047136,26596
8619,0111205,44925
8643,0356470,11247
8645,0390221,436
8653,0073559,45874
8656,0095468,10754
8665,0372183,2502
8676,0113074,26300
8681,0071737,55848
8688,0063592,39209
8696,0069822,40374
8698,0099292,41925
8699,0219636,259389
8741,0107999,69035
8764,0118030,147169
8766,0038360,20298
8780,0064045,69526
8810,0370263,395
8814,0364751,10762
8818,0057191,8745
8831,0324127,8080
8832,0374330,14797
8834,0380277,18475
8835,0338325,15644
8836,0324554,11208
8839,0113762,13559
8840,0063803,42694
8842,0105108,66566
8843,0110518,124029
8844,0078763,42164
8845,0086961,124
8848,0046521,12548
8849,0092133,33345
8850,0057063,19893
8852,0059399,11387
8854,0093624,24924
8856,0079822,75759
8859,0270846,31117
8860,0337921,9759
8870,0356618,10145
8871,0357054,26486
8872,0365125,13702
8874,0365748,747
8885,0076683,18196
8909,0363475,22842
8913,0384810,15503
8914,0390384,14337
8915,0368658,26108
8916,0358135,4380
8920,0046874,2438
8922,0092972,29445
8944,0329030,2319
8952,0365183,48678
8960,0430745,66641
8961,0317705,9806
8963,0273689,12777
8966,0362269,11184
8967,0387575,11249
8968,0367479,10589
8970,0308644,866
8975,0299863,43743
8976,0038048,17818
8978,0388419,13673
8982,0327919,15397
8984,0349903,163
8988,0053716,18973
8998,0072272,33740
8999,0075323,74719
9003,0047947,25952
9007,0036940,30719
9008,0032635,28421
9009,0275468,47657
9012,0045109,50085
9013,0088074,50034
9016,0125510,30996
25748,0014972,27511
25793,0023649,779
25941,0040536,946
26022,0050681,43234
26142,0059418,29715
26147,0059798,42731
26178,0062407,5767
26198,0063829,27983
26306,0070791,28498
26386,0076141,12535
26388,0076161,62847
26389,0076336,77360
26515,0087596,113784
26555,0090056,9080
26602,0093668,2172
26670,0098204,41939
26688,0099739,9569
26791,0105391,31962
26978,0119467,37517
27004,0120695,10213
27022,0124901,9812
27046,0133985,17263
27064,0143127,15805
27205,0189630,40476
27274,0214605,23985
27549,0301167,36222
27573,0306097,36353
27576,0306432,97754
27873,0387412,11401
31011,0107233,75976
31060,0100606,26426
31162,0352520,10609
31225,0393162,7214
31359,0416991,39504
31867,0331933,13498
31909,0104139,37527
32316,0043972,45218
32456,0110008,15283
32511,0064451,44154
32657,0093488,49565
33539,0365109,11019
33644,0449086,12700
33762,0411291,65579
34016,0072637,20914
34314,0327753,33693
36523,0462333,56214
36576,0025580,51277
36683,0103243,59704
37495,0430651,16133
40952,0387059,24618
41402,0058301,5741
43552,0077276,11183
43919,0466342,10073
43923,0455612,16781
43930,0397078,10025
44115,0475723,10116
44943,0312318,11304
45658,0410400,38344
47880,0177347,49940
47907,0367082,41508
48231,0410730,15742
49013,0452681,13767
49035,0047969,33218
49494,0074776,38450
49524,0762121,2447
49526,0480271,10032
49530,0450259,1372
50601,0398808,1265
50619,0021331,36877
51321,0036104,28438
51540,0443706,1949
51917,0465670,11494
52891,0472268,15008
54318,0054286,88527
54580,0431979,12455
54648,0293564,5174
54934,0784972,10071
55292,0790804,10759
55721,0861739,7347
55740,0108593,18731
56372,0051093,55192
57276,0259822,14062
57695,0106579,1479
58595,0914382,46883
59387,0460791,14784
59440,0482463,12586
59861,0026008,117044
60309,0037508,72163
60579,0453383,572
60599,0462295,13021
62206,0127310,81296
62213,0376873,131805
62764,0072709,27361
65614,0050549,37373
67675,0027040,53863
69928,0274678,51302
70695,1045655,14745
71668,1078940,19899
71688,1093370,11807
72113,1130088,22447
72559,0076297,55628
72571,0068498,112687
72784,0091415,62131
73499,0110419,81895
73981,0033873,22404
74458,1130884,11324
75438,0959329,34335
76163,0049043,104607
76758,0004707,22943
77866,0955308,20662
77883,1428457,60677
77931,1355599,37511
77951,0250264,106813
78698,0243415,26916
79224,1155076,38575
80321,1137999,31549
82390,0009878,44441
82525,1013854,130623
82633,0122136,40149
82682,0059447,32609
82703,1692504,52587
83666,0447641,69313
84329,0247254,34192
85889,0036386,98399
86829,0292081,115427
86837,1681687,61420
87368,0076374,222600
87499,1391137,35688
87516,0034242,94241
88005,0104693,1482
88042,0037615,35954
88224,0194026,55166
88491,0033803,43792
89492,1210166,60308
91073,0023225,119564
91911,1711484,65233
92182,0465666,57046
96239,1727252,79771
98203,1673434,50620
98339,0452332,217724
98566,1144579,57529
99861,0905345,26114
100042,0050470,71768
101299,1849759,80437
102197,1825842,82662
102899,0072867,28271
103663,0060291,197602
103731,1085362,23431
105506,0256749,97397
106646,1386683,31035
106747,1839522,110919
107846,0110420,13632
109418,0076674,142984
110415,0389817,65170
111237,1979385,110958
113947,0019067,203024
115210,2713180,228150
115348,1717724,81707
115873,0046161,92401
116977,2096672,100042
117553,1608368,158967
118340,0343827,255940
119450,0216750,52622
119675,0170223,55553
121173,2275861,161529
122857,0072786,74379
123103,0249326,21533
123109,0130172,62410
123553,2379386,252360
124905,0043595,115111
127585,2165765,287524
130150,0099751,297850
131634,0099212,49497
131940,0103854,214827
132232,0047479,30034
132344,0297169,35703
133463,0065104,61738
134126,2497980,281418
134374,0823671,13179
134411,0093645,58615
138222,4382618,319167
139567,1451632,98532
140818,1294699,16923
140870,0815447,44320
141520,1694019,49087
144336,2354141,230210
144340,1814665,82477
145220,1468703,44224
146198,3809308,325690
146238,0115484,66292
146301,1424746,35652
147441,4126312,320349
148284,0208993,26571
150540,3854104,289190
151743,5037902,379297
152599,0381716,44850
152601,1905010,67327
152737,0101927,43953
152747,1700810,81524
152780,0065877,143983
153158,0108338,155052
153518,2609998,286367
154400,0176048,84030
155084,0794338,20431
157336,3040224,325186
157350,3249414,316883
157544,0127692,153423
157827,0270758,45330
157841,0286648,64784
157845,4188654,391566
157847,4630444,358895
157849,5243424,387889
158011,0450061,388055
158015,1028561,97253
158852,1857772,86522
158916,3512900,279371
159447,3174376,301804
160588,3332308,367197
160768,0089122,49237
167810,0075764,106876
168530,5271772,394723
168672,0353161,21062
170687,0358551,310814
173897,6690310,445224
174751,5490310,436882
